City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,manta,-0.95,-80.7333,302.03,74,75,3.09,EC,1680979075
283,zhigalovo,54.8097,105.1578,262.63,96,90,0.77,RU,1680979075
284,lagoa,39.05,-27.9833,287.47,71,100,10.9,PT,1680978910
285,lompoc,34.6391,-120.4579,294.65,72,20,3.6,US,1680978908
286,ardakan,32.31,54.0175,294.62,12,0,3.41,IR,1680979076
287,kieta,-6.2167,155.6333,298.89,82,100,1.18,PG,1680979076
288,greenwood,34.1668,-82.1165,279.97,92,100,5.66,US,1680978790
289,wanning,18.8003,110.3967,295.92,92,100,4.5,CN,1680978899
290,peddapalli,18.6167,79.3667,299.68,52,2,1.3,IN,1680979076
291,mikhaylovka,50.06,43.2379,278.03,63,40,3.55,RU,1680979076
292,gat,31.61,34.7642,298.37,100,86,2.44,IL,1680978901
293,mariental,-24.6333,17.9667,299.16,18,84,4.21,,1680979077
294,sinegorye,62.0788,150.477,252.76,84,17,1.93,RU,1680979077
295,constitucion,-35.3333,-72.4167,292.83,48,4,5.17,CL,1680978909
296,wahiawa,21.5028,-158.0236,297.33,74,100,1.54,US,1680979077
297,kysyl-syr,63.8986,122.7617,248.18,99,100,1.58,RU,1680979078
298,san ignacio,17.1561,-89.0714,306.23,38,40,2.06,BZ,1680979078
299,whitianga,-36.8333,175.7,286.89,86,100,0.83,NZ,1680979078
300,coihaique,-45.5752,-72.0662,289.12,36,20,3.09,CL,1680978955
301,ebolowa,2.9,11.15,295.4,97,100,1.72,CM,1680979078
302,sumbe,-11.2061,13.8437,299.65,88,100,3.55,AO,1680979078
303,mnogovershinnyy,53.9353,139.9242,262.33,86,70,1.09,RU,1680979078
304,lahaina,20.8783,-156.6825,298.6,78,100,4.06,US,1680979079
305,komsomolskiy,40.4272,71.7189,288.55,63,100,2.06,UZ,1680979079
306,marsa matruh,31.3525,27.2453,290.26,82,40,8.75,EG,1680978927
307,nemuro,43.3236,145.575,274.2,90,100,7.56,JP,1680979079
308,gurupa,-1.405,-51.64,301.77,71,100,0.98,BR,1680979080
309,bali,-8.5,115.0,298.69,91,100,2.15,ID,1680979080
310,ahipara,-35.1667,173.1667,289.11,94,87,3.15,NZ,1680978913
311,posse,-14.0931,-46.3694,301.5,53,100,3.16,BR,1680979080
312,oga,46.4631,10.347,277.53,92,23,2.41,IT,1680979080
313,bubaque,11.2833,-15.8333,298.56,73,100,9.68,GW,1680979081
314,puerto narino,-3.7703,-70.3831,299.78,84,74,1.05,CO,1680979081
315,roebourne,-20.7833,117.1333,301.56,39,41,3.59,AU,1680979081
316,kruisfontein,-34.0033,24.7314,288.64,89,100,6.95,ZA,1680978873
317,sindou,10.6667,-5.1667,303.02,46,42,1.75,BF,1680979081
318,magadan,59.5667,150.8,259.72,81,100,3.27,RU,1680978918
319,hudson bay,52.85,-102.3842,277.84,72,12,5.76,CA,1680979082
320,petropavlovsk-kamchatskiy,53.0452,158.6483,271.48,100,75,0.0,RU,1680979082
321,fort-shevchenko,44.5086,50.263,284.55,78,100,4.34,KZ,1680979082
322,sysert,56.4953,60.8192,274.56,81,1,2.31,RU,1680979083
323,port hardy,50.6996,-127.4199,281.25,93,100,2.57,CA,1680978883
324,rudbar,30.15,62.6,297.66,30,2,5.08,AF,1680979083
325,coahuayana,18.7333,-103.6833,306.02,34,4,3.98,MX,1680979083
326,lata,40.1629,-8.3327,289.03,62,90,1.43,PT,1680978907
327,wodonga,-36.1167,146.8833,283.86,100,44,4.23,AU,1680979084
328,sosua,19.7667,-70.5167,305.14,65,40,9.26,DO,1680979084
329,mathbaria,22.2876,89.9593,298.89,67,0,2.81,BD,1680979036
330,shache,38.4167,77.2406,288.68,14,16,3.55,CN,1680979085
331,qui nhon,13.7667,109.2333,296.99,92,9,3.87,VN,1680979085
332,hit,33.6416,42.8251,296.65,26,100,3.29,IQ,1680979085
333,alugan,12.2188,125.4808,298.71,84,40,5.62,PH,1680979086
334,matagami,49.7502,-77.6328,276.21,35,0,5.14,CA,1680979086
335,usvyaty,55.7456,30.7533,280.43,89,69,1.97,RU,1680979086
336,hualmay,-11.0964,-77.6139,300.36,68,90,4.8,PE,1680979087
337,yurimaguas,-5.9,-76.0833,297.24,94,100,0.0,PE,1680979087
338,slonim,53.0867,25.3219,282.21,97,100,2.14,BY,1680979088
339,comodoro rivadavia,-45.8667,-67.5,293.07,15,0,9.26,AR,1680978903
340,yar-sale,66.8333,70.8333,247.76,98,100,2.93,RU,1680978795
341,half moon bay,37.4636,-122.4286,291.43,77,75,4.63,US,1680978950
342,karakulino,56.012,53.7067,276.35,45,8,1.09,RU,1680979088
343,uruzgan,32.8333,66.0,288.6,35,0,0.67,AF,1680978946
344,kobryn,52.2138,24.3564,282.12,94,100,2.1,BY,1680979089
345,belyy yar,53.6039,91.3903,269.09,63,0,6.0,RU,1680978937
346,ciudad del maiz,22.4,-99.6,293.78,64,88,2.87,MX,1680979089
347,chitrakonda,18.1167,82.0833,300.57,48,72,0.8,IN,1680978875
348,yaransk,57.3033,47.8861,275.38,57,55,2.29,RU,1680979090
349,la mana,-0.9333,-79.2167,303.63,65,100,2.32,EC,1680979090
350,kenitra,34.261,-6.5802,294.57,69,18,3.2,MA,1680979091
351,yeppoon,-23.1333,150.7333,289.03,43,0,3.18,AU,1680978935
352,ocos,14.5094,-92.1933,305.25,60,9,5.08,GT,1680979091
353,port macquarie,-31.4333,152.9167,285.31,62,0,4.01,AU,1680978654
354,beloha,-25.1667,45.05,297.1,86,100,2.66,MG,1680978960
355,kijang,35.2442,129.2139,280.0,40,6,2.35,KR,1680979092
356,bukachacha,52.9833,116.9167,265.54,82,7,1.3,RU,1680979092
357,barabinsk,55.3571,78.357,269.12,77,94,6.48,RU,1680979093
358,yumen,40.2833,97.2,282.53,15,87,6.84,CN,1680978911
359,sur,22.5667,59.5289,299.84,59,51,4.24,OM,1680979093
360,kudahuvadhoo,2.6708,72.8944,301.59,74,16,4.18,MV,1680979094
361,carnarvon,-24.8667,113.6333,294.45,70,6,5.99,AU,1680978874
362,ovca,44.8835,20.5334,281.46,82,75,2.06,RS,1680979095
363,poronaysk,49.2167,143.1167,267.82,85,7,3.39,RU,1680979096
364,saint george,37.1041,-113.5841,290.61,29,0,0.89,US,1680978634
365,san policarpo,12.1791,125.5072,298.99,83,46,5.81,PH,1680978948
